1 input_SAM_RF_AC_Radar_#1_#2_#3.asc ' SAM1 vs AC1 ' Mar  6 2026 15:53:19
  0  0 93
time            lconv           msl_time        mach            pdynmc          
psiblx          thtblx          phiblx          alppx           phipx           
alphax          betax           ppx             qqx             rrx             
SBEL1           SBEL2           SBEL3           dvbe            alt             
psivlx          thtvlx          anx             ayx             mass            
thrust          xcg             ai11            ai33            cyb             
clnb            cna             clma            stmarg_pitch    gavail          
gmax            stmarg_yaw      dbtk            epy             dta             
epz             thtpbx          psipbx          sigdy           sigdz           
thtvlcx         psivlcx         phiblcx         ancomx          alcomx          
gnav_comp       allx            annx            gn              dcvel           
psiflx          ip_sltrange     dvtbc           wacl            zacl            
pacl            wrcl            zrate           wnlagr          ancomx_test     
alcomx_test     dpx             dqx             drx             delx1           
delx2           delx3           delx4           miss            MISS1           
MISS2           MISS3           mode            dbt             psiptx          
thtptx          aztbx           eltbx           dab             ddab            
snr_db          onax            epsic           ethtc           psisb           
thtsb           lamdqb          lamdrb          
50.8            0               0.079           0.0463612       152.434         
-90             45              8.45193e-06     1.95291         1.06572e-05     
1.95291         -2.93434e-08    0.00022707      0.000462347     2.79426e-06     
-2.226e-09      -0.893947       -0.863709       15.7775         0.863709        
-90             43.0221         0.00136515      -7.62914e-08    299.21          
2370.32         2.89605         2.8921          437.63          -15.2777        
-3.82376        15.7152         1.36386         -0.0867861      0.0349909       
0.0363572       -0.250284       19981.1         0               1               
0               0               0               0               0               
43.1973         -90.1311        -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               1.91279         0.024923        0               0               
0               0.00201818      0.00351625      -0.000380556    -0.00163763     
0.00149807      -0.00239874     -0.00553443     0               0               
0               0               120021          19981           0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
50.9            0               0.179           0.0482114       164.822         
-90             45.0001         4.47804e-05     4.29899         3.14307e-05     
4.29899         2.35608e-06     0.000509737     0.00203797      6.33734e-06     
-1.15432e-08    -2.08726        -1.93105        16.4172         1.93105         
-90             40.68           0.00326285      -7.54763e-08    298.21          
5370.72         2.89105         2.8821          434.63          -15.2387        
-4.09868        15.7171         1.07392         -0.0683281      0.0362419       
0.0395052       -0.268964       19957.8         0               1               
0               0               0               0               0               
40.8503         -90.1223        -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               2.00098         0.0260035       0               0               
0               0.00185964      0.0180258       -0.000337137    -0.0015225      
0.0161662       -0.00219677     -0.0198854      0               0               
0               0               120021          19957.8         0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
51              0               0.279           0.0530928       199.862         
-90             45.0004         0.00011019      6.10038         9.21555e-05     
6.10038         9.79343e-06     0.000807575     0.00425303      9.85118e-06     
-2.60931e-08    -3.4078         -3.02788        18.0884         3.02788         
-90             38.8855         0.0056377       -8.33828e-08    297.21          
8371.14         2.88605         2.8721          431.63          -15.2158        
-4.29687        15.7222         0.823762        -0.0523947      0.0426258       
0.0482619       -0.282395       19934.5         0               1               
0               0               0               0               0               
39.0408         -90.1098        -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               2.2261          0.0287375       0               0               
0               0.00172283      0.0355824       -0.000278637    -0.00144419     
0.0338596       -0.00200147     -0.0373053      0               0               
0               0               120021          19934.5         0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
51.1            0               0.379           0.0609873       263.68          
-90             45.001          0.000208246     7.21807         0.000184264     
7.21807         2.3152e-05      0.00116175      0.00673517      1.34351e-05     
-4.0582e-08     -4.92723        -4.22619        20.7846         4.22619         
-90             37.775          0.00883767      -1.04739e-07    296.21          
11371.6         2.88105         2.8621          428.63          -15.2123        
-4.38597        15.8508         0.661038        -0.0417038      0.0554764       
0.0643088       -0.288317       19911           0               1               
0               0               0               0               0               
37.9109         -90.0962        -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               2.59386         0.0333875       0               0               
0               0.00160467      0.0499495       -0.000216637    -0.00138803     
0.0483448       -0.00182131     -0.0515542      0               0               
0               0               120021          19911           0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
51.2            0               0.479           0.0718859       366.282         
-90             45.0018         0.000347051     7.73323         0.000315218     
7.73323         4.2416e-05      0.00162046      0.00912594      1.70866e-05     
-4.4264e-08     -6.71764        -5.59854        24.5031         5.59854         
-90             37.2659         0.0132092       -1.50441e-07    295.21          
14372.1         2.87605         2.8521          425.63          -15.2262        
-4.3828         16.1538         0.635686        -0.0393522      0.0772473       
0.0904463       -0.287845       19887.1         0               1               
0               0               0               0               0               
37.3827         -90.0834        -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               3.11363         0.0402359       0               0               
0               0.00149643      0.0579127       -0.000160413    -0.00133602     
0.0564163       -0.00165684     -0.0594092      0               0               
0               0               120021          19887.1         0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
51.3            0               0.579           0.0857953       521.64          
-90             45.0028         0.000539925     7.81709         0.000497884     
7.81709         6.77178e-05     0.0022434       0.0110614       2.06958e-05     
-1.85091e-08    -8.85154        -7.21807        29.2458         7.21807         
-90             37.1865         0.019099        -2.42844e-07    294.21          
17372.7         2.87105         2.8421          422.63          -15.2532        
-4.32477        16.2262         0.573887        -0.035368       0.111643        
0.130726        -0.283532       19862.9         0               1               
0               0               0               0               0               
37.2868         -90.0723        -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               3.79878         0.0483916       0               0               
0               0.00138849      0.0590694       -0.000114703    -0.00127378     
0.0576809       -0.00150319     -0.0604579      0               0               
0               0               120021          19862.8         0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
51.4            0               0.679           0.102733        747.771         
-90             45.004          0.000806675     7.63323         0.000751829     
7.63323         9.98664e-05     0.00310328      0.0122582       2.40321e-05     
6.5744e-08      -11.4019        -9.15852        35.0189         9.15852         
-90             37.3735         0.0268538       -4.24422e-07    293.21          
20373.4         2.86605         2.8321          419.63          -15.2892        
-4.24809        16.1485         0.46752         -0.0289514      0.163793        
0.190627        -0.277849       19838.1         0               1               
0               0               0               0               0               
37.4605         -90.0631        -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               4.66666         0.0578515       0               0               
0               0.001274        0.054768        -8.04205e-05    -0.00119358     
0.0534939       -0.00135442     -0.056042       0               0               
0               0               120021          19838.1         0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
51.5            0               0.779           0.122725        1066.82         
-90             45.0052         0.00117481      7.30215         0.00110464      
7.30215         0.000140401     0.00428369      0.012677        2.67348e-05     
2.50455e-07     -14.4419        -11.4943        41.8305         11.4943         
-90             37.7068         0.036818        -7.72284e-07    292.21          
23374.3         2.86105         2.8221          416.63          -15.3312        
-4.17965        15.9797         0.307519        -0.0192444      0.240474        
0.277271        -0.272624       19812.7         0               1               
0               0               0               0               0               
37.7833         -90.0556        -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               5.73853         0.0686019       0               0               
0               0.00115021      0.0474126       -5.67663e-05    -0.00109344     
0.0462624       -0.00120697     -0.0485628      0               0               
0               0               120021          19812.7         0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
51.6            0               0.879           0.145796        1505.12         
-90             45.0065         0.00168045      6.90151         0.00159288      
6.90151         0.000191406     0.00587348      0.012709        2.83061e-05     
5.9246e-07      -18.0453        -14.3005        49.6893         14.3005         
-90             38.1092         0.0493302       -1.42017e-06    291.21          
26375.4         2.85605         2.8121          413.63          -15.3772        
-4.13694        15.8199         0.144323        -0.00912287     0.350374        
0.399685        -0.269031       19786.6         0               1               
0               0               0               0               0               
38.1774         -90.0495        -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               7.03949         0.0809337       0.0765478       0               
0               0.00101816      0.0399195       -4.2402e-05     -0.000975754    
0.0389014       -0.00106056     -0.0409377      0               0               
0               0               120021          19786.5         0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
51.7            0               0.979           0.171973        2093.28         
-90             45.0078         0.00236858      6.47747         0.00226246      
6.47747         0.000255234     0.00795909      0.0133017       2.80966e-05     
1.16436e-06     -22.2861        -17.653         58.6041         17.653          
-90             38.5346         0.0647213       -2.58968e-06    290.21          
29376.6         2.85105         2.8021          410.63          -15.4261        
-4.13044        15.8474         0.16827         -0.0106181      0.504414        
0.569115        -0.267757       19759.7         0               1               
0               0               0               0               0               
38.5963         -90.0446        -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               8.59855         0.0959267       0.0821946       0               
0               0.000881728     0.0352227       -3.60307e-05    -0.000845698    
0.034341        -0.000917759    -0.0361044      0               0               
0               0               120021          19759.6         0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
51.8            0               1.079           0.200402        2841.24         
-90             45.0092         0.00329216      6.08254         0.00316801      
6.08254         0.000335685     0.0106042       0.015793        2.52823e-05     
2.0509e-06      -27.2328        -21.6223        68.2764         21.6223         
-90             38.9302         0.0829457       -4.61094e-06    289.21          
30118.1         2.84605         2.7921          407.63          -15.4758        
-4.15974        15.8774         0.22036         -0.0138788      0.70899         
0.791897        -0.268791       19731.8         0               1               
0               0               0               0               0               
38.9876         -90.0407        -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               10.3925         0.112336        0.0696048       0               
0               0.000739906     0.0356517       -3.6806e-05     -0.0007031      
0.0349118       -0.000776712    -0.0363917      0               0               
0               0               120021          19731.8         0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
51.9            0               1.179           0.229154        3712.97         
-90             45.011          0.00450512      5.76434         0.00436618      
5.76434         0.000438526     0.0137487       0.0206367       1.89197e-05     
3.32499e-06     -32.9103        -26.2361        78.055          26.2361         
-90             39.2495         0.103318        -7.90486e-06    288.21          
30259           2.84105         2.7821          404.63          -15.5234        
-4.20833        15.9077         0.275447        -0.0173154      0.957449        
1.06068         -0.271097       19703           0               1               
0               0               0               0               0               
39.3037         -90.0377        -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               12.3158         0.129082        0.0159805       0               
0               0.000593894     0.0406094       -4.42743e-05    -0.00054962     
0.0400155       -0.000638169    -0.0412033      0               0               
0               0               120021          19703           0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
52              0               1.279           0.258157        4709.38         
-90             45.0134         0.00605158      5.4989          0.0059049       
5.4989          0.000565847     0.0172838       0.0275651       8.04582e-06     
5.04418e-06     -39.3234        -31.5019        87.9172         31.5019         
-90             39.5169         0.125758        -1.30314e-05    287.21          
30400.2         2.83605         2.7721          401.63          -15.5693        
-4.26979        15.9382         0.332583        -0.0208671      1.25296         
1.37854         -0.274243       19673.3         0               1               
0               0               0               0               0               
39.5686         -90.0354        -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               14.3676         0.146125        0               0               
0               0.000459682     0.0481014       -5.78664e-05    -0.000401816    
0.0476417       -0.000517549    -0.0485611      0               0               
0               0               120021          19673.2         0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
52.1            0               1.379           0.287409        5832.98         
-90             45.0166         0.00796629      5.27007         0.00782368      
5.27007         0.000718609     0.0211366       0.0361539       -8.28292e-06    
7.24888e-06     -46.4763        -37.4271        97.8621         37.4271         
-90             39.7486         0.150195        -2.06718e-05    286.21          
30541.6         2.83105         2.7621          398.63          -15.6141        
-4.34042        15.969          0.391723        -0.0245302      1.5993          
1.74917         -0.277981       19642.6         0               1               
0               0               0               0               0               
39.7981         -90.0335        -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               16.5509         0.163464        0               0               
0               0.000342654     0.0566627       -7.717e-05      -0.000265484    
0.0563201       -0.000419824    -0.0570054      0               0               
0               0               120021          19642.5         0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
52.2            0               1.479           0.316906        7086.18         
-90             45.0206         0.0102788       5.06756         0.0101577       
5.06756         0.000897237     0.0252778       0.045965        -3.09651e-05    
9.95074e-06     -54.3731        -44.0194        107.888         44.0194         
-90             39.955          0.176543        -3.16313e-05    285.21          
30683.3         2.82605         2.7521          395.63          -15.6578        
-4.41786        16.0001         0.452815        -0.0283008      2.00037         
2.1764          -0.28215        19610.9         0               1               
0               0               0               0               0               
40.0027         -90.032         -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               18.869          0.181098        0               0               
0               0.000241656     0.0653429       -0.000101833    -0.000139823    
0.0651012       -0.000343489    -0.0655845      0               0               
0               0               120021          19610.8         0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
52.3            0               1.579           0.346646        8471.28         
-90             45.0258         0.0130174       4.88449         0.012942        
4.88448         0.00110197      0.0297111       0.0566324       -6.08604e-05    
1.3118e-05      -63.0179        -51.2866        117.995         51.2866         
-90             40.143          0.204702        -4.68475e-05    284.21          
30825.2         2.82105         2.7421          392.63          -15.7007        
-4.50048        16.0314         0.515801        -0.0321744      2.4602          
2.66415         -0.286643       19578.3         0               1               
0               0               0               0               0               
40.1892         -90.0307        -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               21.325          0.199026        0               0               
0               0.000152963     0.0736097       -0.000131549    -2.14143e-05    
0.0734567       -0.000284512    -0.0737626      0               0               
0               0               120021          19578.1         0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
52.4            0               1.679           0.376624        9990.41         
-90             45.032          0.0162116       4.7161          0.0162135       
4.7161          0.00133305      0.0344578       0.0678885       -9.88181e-05    
1.66573e-05     -72.4143        -59.2362        128.18          59.2362         
-90             40.3175         0.234559        -6.74019e-05    283.21          
30967.4         2.81605         2.7321          389.63          -15.7427        
-4.58714        16.0629         0.580614        -0.0361461      2.98294         
3.21645         -0.291382       19544.6         0               1               
0               0               0               0               0               
40.3624         -90.0296        -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               23.9219         0.217245        0               0               
0               7.26543e-05     0.0812211       -0.000166074    9.34193e-05     
0.0811484       -0.000238728    -0.0812937      0               0               
0               0               120021          19544.5         0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
52.5            0               1.779           0.406836        11645.6         
-90             45.0393         0.0184143       4.55904         0.0185334       
4.55904         0.00147316      -0.00552195     0.0795471       -0.000140002    
2.01106e-05     -82.5657        -67.8762        138.441         67.8762         
-90             40.4818         0.265989        -8.77684e-05    282.21          
31109.9         2.81105         2.7221          386.63          -15.784         
-4.677          16.0948         0.647113        -0.0402064      3.57282         
3.83742         -0.296313       19510           0               1               
0               0               0               0               0               
40.5256         -90.0286        0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               26.6623         0.235754        0               0               
0               -0.00231053     0.0881015       -0.00020121     0.00251174      
0.090412        0.00210932      -0.085791       0               0               
0               0               120021          19509.8         0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
52.6            0               1.879           0.437275        13438.5         
-90             45.0479         0.017103        4.4109          0.0173701       
4.4109          0.00133591      0.00873989      0.0914613       -0.000152855    
2.27328e-05     -93.4752        -77.2142        148.776         77.2142         
-90             40.6384         0.298855        -9.29007e-05    281.21          
31252.5         2.80605         2.7121          383.63          -15.8246        
-4.76944        16.1268         0.715108        -0.0443427      4.23419         
4.53124         -0.301394       19474.3         0               1               
0               0               0               0               0               
40.6812         -90.0278        -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               29.5491         0.254548        0               0               
0               0.002255        0.0942422       -0.000200706    -0.00205429     
0.0919872       -0.0024557      -0.0964971      0               0               
0               0               120021          19474.2         0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
52.7            0               1.979           0.467935        15370.7         
-90             45.0576         0.0172264       4.2699          0.0176465       
4.2699          0.00131387      -0.0112255      0.103538        -0.000165075    
2.50965e-05     -105.146        -87.2578        159.183         87.2578         
-90             40.7891         0.333012        -0.000105287    280.21          
31395.5         2.80105         2.7021          380.63          -15.8644        
-4.86395        16.1591         0.784707        -0.0485612      4.97143         
5.30217         -0.306594       19437.6         0               1               
0               0               0               0               0               
40.831          -90.0271        -0.000810285    0               0               
